acc. date,type,operator,Onboard Fatality,Ground Fatality,Total Fatality,location,dmg,capacity
19 Sep 1976,B727,Türk Hava Yollari - THY,154,0,154,near Isparta,w/o,189
13 Oct 1976,B707,"Lloyd Aéreo Boliviano - LAB, lsf Jet Power",3,88,91,"0,6 km NW of Santa Cruz-El Trompillo Airport (SRZ)",w/o,189
23 Dec 1976,B707,Air France,0,1,1,Beijing Capital International Airport (PEK),non,189
25 Dec 1976,B707,EgyptAir,52,19,71,ca 2 km NE of Bangkok-Don Muang International Airport (BKK),w/o,189
17 Mar 1977,B727,All Nippon Airways - ANA,1,0,1,Tokyo,non,189
27 Mar 1977,B747,KLM Royal Dutch Airlines,248,335,583,Tenerife-Los Rodeos International Airport (TCI),w/o,660
27 Mar 1977,B747,Pan American World Airways (Pan Am),335,248,583,Tenerife-Los Rodeos International Airport (TCI),w/o,660
14 May 1977,B707,"IAS Cargo, lsf Dan-Air Services",6,0,6,"3,7 km W of Lusaka Airport (LUN)",w/o,189
13 Oct 1977,B737,Lufthansa,4,0,4,Mogadishu International Airport (MGQ),min,230
20 Oct 1977,B737,Frontier Airlines (FL),1,0,1,"Kansas City, MO",unk,230
19 Nov 1977,B707,Ethiopian Airlines,5,0,5,"0,5 km W of Roma-Fiumicino Airport (FCO)",w/o,189
19 Nov 1977,B727,TAP Air Portugal,131,0,131,Funchal Airport (FNC),w/o,189
4 Dec 1977,B737,Malaysian Airlines System - MAS,100,0,100,near Tanjong Kupang,w/o,230
1 Jan 1978,B747,Air-India,213,0,213,3 km W off Bombay-Santacruz Airport (BOM),w/o,660
11 Feb 1978,B737,Pacific Western Airlines,42,0,42,"Cranbrook Airport, BC (YXC)",w/o,230
1 Mar 1978,DC10,Continental Air Lines,2,0,2,"Los Angeles International Airport, CA (LAX)",w/o,380
9 Mar 1978,B737,China Airlines,1,0,1,Hong Kong,non,230
20 Apr 1978,B707,Korean Air Lines - KAL,2,0,2,Korpijärvi Lake,sub,189
8 May 1978,B727,National Airlines,3,0,3,"Escambia Bay, FL",w/o,189
25 Sep 1978,B727,Pacific Southwest Airlines - PSA,135,9,144,"5,6 km NE of San Diego International Airport, CA (SAN)",w/o,189
17 Dec 1978,B737,Indian Airlines,1,3,4,Hyderabad-Begumpet Airport (HYD),w/o,230
30 Jan 1979,B707,Varig,6,0,6,"c 200km ENE off Tokyo, Japan",mis,189
17 Feb 1979,B707,Trans Mediterranean Airways - TMA,0,1,1,Taoyuan,sub,189
14 Mar 1979,B727,Alia Royal Jordanian Airlines,45,0,45,Doha Airport (DOH),w/o,189
4 Apr 1979,B747,Pan American World Airways (Pan Am),0,1,1,"Sydney-Kingsford Smith Airport, NSW (SYD)",non,660
25 May 1979,DC10,American Airlines,271,2,273,"Chicago-O'Hare International Airport, IL (ORD)",w/o,380
23 Jul 1979,B707,Trans Mediterranean Airways - TMA,6,0,6,Beirut International Airport (BEY),w/o,189
26 Jul 1979,B707,Lufthansa Cargo,3,0,3,"25 km N of Rio de Janeiro-Galeão International Airport, RJ (GIG)",w/o,189
11 Sep 1979,B707,China Airlines,6,0,6,off Taipei-Chiang Kai Shek International Airport (TPE),w/o,189
31 Oct 1979,DC10,Western Air Lines,72,1,73,Mexico City-Juarez International Airport (MEX),w/o,380
26 Nov 1979,B707,Pakistan International Airlines - PIA,156,0,156,48 km N of Taif,w/o,189
28 Nov 1979,DC10,Air New Zealand,257,0,257,Mount Erebus,w/o,380
21 Jan 1980,B727,Iran Air,128,0,128,29 km N of Tehran-Mehrabad Airport (THR),w/o,189
27 Feb 1980,B707,China Airlines,2,0,2,Manila International Airport (MNL),w/o,189
12 Apr 1980,B727,Transbrasil,55,0,55,"22 km NNE of Florianópolis-Hercilio Luz International Airport, SC (FLN)",w/o,189
25 Apr 1980,B727,Dan-Air Services,146,0,146,Esperanzo Forest,w/o,189
10 May 1980,B737,Indian Airlines,2,0,2,"Over Rampur Hat, West Bengal state",sub,230
13 Oct 1980,B727,Türk Hava Yollari - THY,1,0,1,Diyarbakir Airport (DIY),min,189
19 Nov 1980,B747,Korean Air Lines - KAL,14,0,14,Seoul-Gimpo (Kimpo) International Airport (SEL),w/o,660
10 Apr 1981,A300,Eastern Air Lines,1,0,1,"Miami International Airport, FL (MIA)",non,280
22 Aug 1981,B737,Far Eastern Air Transport - FEAT,110,0,110,"near Sanyi Township, Miaoli County",w/o,230
20 Sep 1981,DC10,World Airways,1,0,1,between Baltimore and London,non,380
13 Jan 1982,B737,Air Florida,74,4,78,"1,4 km  N of Washington-National Airport, DC (DCA) [Potomac River]",w/o,230
23 Jan 1982,DC10,World Airways,2,0,2,"Boston-Logan International Airport, MA (BOS)",w/o,380
8 Mar 1982,B707,Trans World Airlines - TWA,1,0,1,"Las Vegas, NV",non,189
24 May 1982,B737,VASP - Viação Aérea São Paulo,2,0,2,"Brasilia International Airport, DF (BSB)",w/o,230
8 Jun 1982,B727,VASP - Viação Aérea São Paulo,137,0,137,"Serra de Pacatuba, CE",w/o,189
22 Jun 1982,B707,Air-India,17,0,17,Bombay-Santacruz Airport (BOM),w/o,189
9 Jul 1982,B727,Pan American World Airways (Pan Am),145,8,153,"1,4 km E of New Orleans International Airport, LA (MSY)",w/o,189
11 Aug 1982,B747,Pan American World Airways (Pan Am),1,0,1,225 km from Hawaii,min,660
